,difference,num_features,aw,bw,ab,bb,cm,epsilon,samples,simulations
146,0.44395550391520666,13.0,5.0,5.0,4.0,2.0,2.0,3.0,1000.0,1000.0
147,-0.18891259466354463,7.0,6.0,5.0,8.0,2.0,3.0,1.0,1000.0,1000.0
148,-1.2977568854740127,6.0,1.0,5.0,3.0,7.0,3.0,3.0,1000.0,1000.0
149,0.0396879874154025,18.0,6.0,8.0,7.0,1.0,2.0,1.0,1000.0,1000.0
150,0.673237983150506,14.0,1.0,2.0,6.0,8.0,1.0,2.0,1000.0,1000.0
151,-1.2613890388065079,6.0,2.0,2.0,8.0,7.0,2.0,3.0,1000.0,1000.0
152,2.9230524387195653,18.0,9.0,2.0,1.0,5.0,1.0,2.0,1000.0,1000.0
153,-0.07127513521473536,6.0,6.0,6.0,6.0,5.0,1.0,1.0,1000.0,1000.0
154,-0.2320590779368074,6.0,3.0,4.0,2.0,6.0,4.0,2.0,1000.0,1000.0
155,0.15904272124223162,10.0,1.0,6.0,7.0,7.0,1.0,3.0,1000.0,1000.0
156,-0.1234998473640608,5.0,8.0,3.0,5.0,6.0,1.0,1.0,1000.0,1000.0
157,-1.0771601736240568,15.0,3.0,4.0,5.0,5.0,4.0,2.0,1000.0,1000.0
158,-0.22535858602008138,9.0,5.0,8.0,2.0,1.0,2.0,2.0,1000.0,1000.0
159,0.9474120982789491,8.0,8.0,1.0,1.0,2.0,2.0,3.0,1000.0,1000.0
160,-0.18818651442378265,6.0,4.0,6.0,8.0,7.0,1.0,1.0,1000.0,1000.0
161,2.812906052163486,16.0,7.0,3.0,1.0,9.0,1.0,3.0,1000.0,1000.0
162,1.224336792727154,17.0,6.0,7.0,1.0,1.0,1.0,2.0,1000.0,1000.0
163,0.2148726709019148,11.0,8.0,1.0,5.0,7.0,4.0,2.0,1000.0,1000.0
164,0.002105992177848079,15.0,7.0,6.0,8.0,5.0,1.0,1.0,1000.0,1000.0
165,0.47789541681604863,15.0,1.0,3.0,3.0,7.0,3.0,2.0,1000.0,1000.0
166,-0.18214518681921216,8.0,2.0,7.0,8.0,1.0,4.0,1.0,1000.0,1000.0
167,-1.7025174718978138,8.0,9.0,5.0,7.0,1.0,3.0,2.0,1000.0,1000.0
168,-0.30182249494720675,10.0,6.0,9.0,7.0,3.0,4.0,1.0,1000.0,1000.0
169,-0.2216058707027044,7.0,6.0,3.0,6.0,7.0,2.0,1.0,1000.0,1000.0
170,0.835131998450172,10.0,9.0,8.0,2.0,3.0,3.0,1.0,1000.0,1000.0
171,0.7620410121038671,16.0,5.0,4.0,6.0,6.0,1.0,3.0,1000.0,1000.0
172,-0.00917582631994653,16.0,8.0,9.0,4.0,3.0,2.0,1.0,1000.0,1000.0
173,0.7802577386045457,10.0,4.0,2.0,8.0,6.0,1.0,2.0,1000.0,1000.0
174,-0.1460258550217545,13.0,3.0,3.0,8.0,9.0,3.0,3.0,1000.0,1000.0
175,0.5503680852545051,9.0,9.0,1.0,1.0,1.0,4.0,2.0,1000.0,1000.0
176,0.43857430588722107,8.0,7.0,7.0,1.0,7.0,4.0,2.0,1000.0,1000.0
177,-0.7196853333027814,8.0,1.0,8.0,8.0,9.0,4.0,2.0,1000.0,1000.0
178,-0.17269691938923243,6.0,5.0,9.0,1.0,3.0,4.0,2.0,1000.0,1000.0
179,0.4653479807135148,13.0,1.0,2.0,7.0,8.0,2.0,3.0,1000.0,1000.0
180,-0.3375012009589138,16.0,9.0,1.0,6.0,5.0,4.0,3.0,1000.0,1000.0
181,0.23776191003199423,15.0,6.0,7.0,7.0,4.0,1.0,2.0,1000.0,1000.0
182,-0.3755138140582637,11.0,9.0,1.0,6.0,8.0,4.0,1.0,1000.0,1000.0
183,-0.47211271939874716,7.0,8.0,6.0,7.0,5.0,3.0,1.0,1000.0,1000.0
184,-1.0494882432306467,11.0,3.0,6.0,3.0,8.0,4.0,2.0,1000.0,1000.0
185,-0.15135225728648014,12.0,6.0,9.0,9.0,6.0,1.0,2.0,1000.0,1000.0
186,0.34457924956209424,9.0,5.0,9.0,6.0,8.0,1.0,2.0,1000.0,1000.0
